tconst,primaryTitle,startYear,genres,averageRating,numVotes,posterUrl
tt0636857,Lisa Marie Presley,2003,Unknown,,,
tt0639468,Episode dated 7 October 2005,2005,News,6.7,7.0,
tt0652733,Show nº 14,1996,News,,,
tt0723909,Episode dated 20 September 2003,2003,"Music,News",,,
tt0728403,Episode #9.140,2001,"Comedy,Music,Talk-Show",,,
tt0728558,Episode #10.95,2002,"Comedy,Music,Talk-Show",,,
tt0728881,Episode #12.185,2004,"Comedy,Music,Talk-Show",,,
tt0763831,A Thousand Words,2012,"Comedy,Drama,Fantasy",5.9,46285.0,https://image.tmdb.org/t/p/w500/4BoeDiKFqKwq4mfU8ITDLglFyoc.jpg
tt0768035,Episode #1.3,1990,Talk-Show,,,
tt0773260,Bravo Profiles: The Entertainment Business,1998,Documentary,6.6,124.0,
tt0778690,Extended Outlook: The Script,2006,"Documentary,Short",7.1,29.0,
tt0778694,Forecast: Becoming a Weatherman,2006,Short,7.0,34.0,
tt0778774,The Making of 'Lord of War',2006,"Documentary,Short",7.9,97.0,
tt0778821,Relative Humidity: The Characters,2006,"Documentary,Short",7.1,28.0,
tt0796267,Hi Octane,1994,Comedy,5.2,59.0,
tt0805631,Too Tough to Die: A Tribute to Johnny Ramone,2006,"Documentary,Music",7.3,250.0,https://image.tmdb.org/t/p/w500/nPiFUJRPvM1EdyIfKU77ElJ9DGo.jpg
tt0814022,Bangkok Dangerous,2008,"Action,Crime,Thriller",5.3,58937.0,https://image.tmdb.org/t/p/w500/iTRftxHW8i4H7ONaOiCIwEXjNDJ.jpg
tt0834252,Episode dated 25 July 2006,2006,News,7.4,10.0,
tt0835510,Episode #5.150,2006,Documentary,,,
tt0843412,Fantastico 10,1989,"Comedy,Game-Show,Music",6.1,17.0,
tt0850925,Episode #5.172,2006,Documentary,,,
tt0853219,VH1 News Presents: Hollywood Secrets Revealed - Scenes They Don't Want You to See,2006,Documentary,8.4,22.0,
tt0854163,Shirley MacLaine: Kicking Up Her Heels,1996,Documentary,7.3,122.0,https://image.tmdb.org/t/p/w500/iIFeCEUFb2CpaYGqBFeRzEHsY3S.jpg
tt0868608,Episode #2.10,2004,Talk-Show,,,
tt0876536,San Sebastián 2006: Crónica de Carlos Boyero,2006,Documentary,4.9,46.0,
tt0907857,"Love, Death, Elvis & Oz: The Making of 'Wild at Heart'",2004,"Documentary,Short",6.8,76.0,https://image.tmdb.org/t/p/w500/pOyHRUiFusWp9kydS4u5xmoI8a9.jpg
tt0949829,The Making of 'World Trade Center',2006,Documentary,6.5,39.0,
tt0954061,Episode dated 30 January 2007,2007,News,,,
tt0957462,Music Movie Stars,2000,"Biography,Documentary",5.7,11.0,
tt0963093,Episode #15.30,2007,"Comedy,Music,Talk-Show",,,
tt0963536,Episode #6.32,2007,Documentary,9.3,16.0,
tt0963966,The Sorcerer's Apprentice,2010,"Action,Adventure,Family",6.1,173161.0,https://image.tmdb.org/t/p/w500/kffWPQfYLkjsoYEBlFpzqVoTfCV.jpg
tt0964857,Episode #6.33,2007,Documentary,,,
tt0966569,Ghost Rider: Inside the Action,2007,Action,6.3,29.0,
tt0966941,Nicolas Cage/Natalie Morales/John Mulaney,2007,"Comedy,Music,Talk-Show",,,
tt0972275,Episode dated 25 February 2007,2007,"News,Talk-Show",,,
tt10011412,You Don't Nomi,2019,Documentary,6.7,1331.0,https://image.tmdb.org/t/p/w500/AiEKVJ1qonFMM2YY6n9Ba2z4rVp.jpg
tt1008357,Episode dated 14 February 2007,2007,Talk-Show,,,
tt10106190,ET in Vegas: Exclusive with Reba McEntire!,2019,"News,Talk-Show",,,
tt1016898,Episode dated 25 April 2007,2007,"Comedy,Music,Talk-Show",,,
tt10188824,Spider-Man: Into the Spider-Verse - The Ultimate Comics Cast,2019,"Documentary,Short",7.4,35.0,
tt1035508,Visual and Special Effects,2006,"Documentary,Short",6.2,14.0,
tt1066444,Horâ wo 666 bai tanoshiku miru hô'hô,2007,"Short,Talk-Show",8.5,12.0,
tt10690676,Dark,2017,"Drama,Thriller",6.0,546.0,https://image.tmdb.org/t/p/w500/ydP7qPLZvyRyzqp6SQvZtU27dCe.jpg
tt1071875,Ghost Rider: Spirit of Vengeance,2011,"Action,Fantasy,Thriller",4.3,129990.0,https://image.tmdb.org/t/p/w500/fUJOWsjjE8u1r4YOLYe1RLYy7bm.jpg
tt1072854,Episode dated 18 July 2007,2007,"News,Talk-Show",,,
tt1088918,Episode dated 19 August 2007,2007,"News,Talk-Show",,,
tt1091295,Nicolas Cage: Wild at Heart,1999,"Biography,Documentary,History",7.0,93.0,
tt10943750,Episode #1.63,1997,"Action,News",,,
tt1095217,Bad Lieutenant: Port of Call New Orleans,2009,"Crime,Drama,Mystery",6.6,82804.0,https://image.tmdb.org/t/p/w500/73jnKMm8bCcV1w2ltkaeJfLZJzX.jpg
tt10970798,The Battle of the Bonds,1998,"Documentary,History,Short",,,
tt11003218,Pig,2021,"Drama,Mystery",6.9,97994.0,https://image.tmdb.org/t/p/w500/1InMm4Mbjx8wCKvIy5gglo5i3HN.jpg
tt1104009,Plattenladen,2004,Comedy,7.8,10.0,
tt1110051,The Light and the Dark: The Making of 'Face/Off',2007,Documentary,8.1,20.0,https://image.tmdb.org/t/p/w500/r19IcFtNCUkkk8GwHI9GL4sZGt8.jpg
tt11137726,Cage Match!! - Mandy VS. 8mm,2019,Documentary,7.1,12.0,
tt11183312,Episode #26.54,2019,News,,,
tt11291274,The Unbearable Weight of Massive Talent,2022,"Action,Comedy,Crime",7.0,168850.0,https://image.tmdb.org/t/p/w500/aqhLeieyTpTUKPOfZ3jzo2La0Mq.jpg
tt11358390,Renfield,2023,"Action,Comedy,Fantasy",6.4,110835.0,https://image.tmdb.org/t/p/w500/p6yUjhvNGQpFZilKwOKbxQ1eHlo.jpg
tt1142845,Making the Best Next Thing,2007,"Documentary,Short",7.0,12.0,
tt1151001,"Wetten, dass..? aus Graz",2007,"Comedy,Game-Show,Music",6.9,22.0,
tt1151977,Episode dated 4 December 2007,2007,"News,Talk-Show",,,
tt1153135,Episode dated 7 December 2007,2007,"News,Talk-Show",6.8,12.0,
tt1154300,Episode dated 14 December 2007,2007,Talk-Show,,,
tt1157010,Episode dated 14 December 2007,2007,"News,Talk-Show",4.7,80.0,
tt1159042,Episode dated 18 December 2007,2007,"News,Talk-Show",9.7,21.0,
tt11621174,Episode dated 19 September 2016,2016,Documentary,,,
tt1172772,Episode dated 2 January 2008,2008,Talk-Show,,,
tt11730022,Episode dated 21 December 1984,1984,"News,Talk-Show",,,
tt11975120,Carol Kane/Nicolas Cage/Miles Davis,1986,Talk-Show,,,
tt1214962,Seeking Justice,2011,"Action,Drama,Mystery",6.1,48692.0,https://image.tmdb.org/t/p/w500/lN3O0j1DKVnwhO1h5J3utrmrBF2.jpg
tt12252948,The Return of Valley Girl,2020,"News,Talk-Show",,,
tt1232381,Movie Rush,2006,Documentary,5.5,33.0,
tt12374110,Cérémonie de clôture du 43ème festival de Cannes,1990,News,,,
tt12409886,Werewolf Women of the S.S.,2007,"Comedy,Horror,Short",7.3,1375.0,https://image.tmdb.org/t/p/w500/44N8euKQDT4evzUX1Kr0NnsMiEr.jpg
tt1243737,Shirley MacLaine,1996,"Biography,Documentary",8.6,86.0,https://image.tmdb.org/t/p/w500/iIFeCEUFb2CpaYGqBFeRzEHsY3S.jpg
tt1250777,Kick-Ass,2010,"Action,Comedy,Crime",7.6,607823.0,https://image.tmdb.org/t/p/w500/iHMbrTHJwocsNvo5murCBw0CwTo.jpg
tt1274586,Dying of the Light,2014,"Action,Drama,Thriller",4.5,11885.0,https://image.tmdb.org/t/p/w500/gL6riNxQeyPXT5YsgqE2aWhl1zi.jpg
tt1282954,Episode #16.1,2008,"Comedy,Music,Talk-Show",5.7,18.0,
tt12872176,The Winner's Journey: Samuel L Jackson's Most Dramatic Roles and Transformations,2020,Talk-Show,,,
tt1288849,Episode dated 5 September 2008,2008,"News,Talk-Show",5.0,13.0,
tt1289034,Nicolas Cage/Vivica A. Fox/Delta Spirit,2008,"Comedy,Music,Talk-Show",,,
